predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
numdoncat,MYELO,predictorvalue,4,353,4.51,1.13,0.34110347,3.4298954E-01,0,0.7204346486
meandonorhb,STDBIK,predspline,2,20084,2.11,1.06,0.3481554698,3.4817477E-01,0,0.7260686019
idbloodgroupcat,BE,predictorvalue,1,20154,0.88,0.88,0.3488173846,3.4882861E-01,0,0.7260686019
meandonationtime,ALB,predspline,2,22987,2.05,1.03,0.3579036888,3.5792013E-01,0,0.7391226983
meandonorage,CA,predspline,2,12733,2.05,1.03,0.3582841866,3.5831383E-01,0,0.7391226983
numdoncat,LYMF,predictorvalue,4,1918,4.34,1.08,0.3622004375,3.6252779E-01,0,0.7415883246
meandonationtime,TRANSF,predspline,2,51,2.07,1.03,0.3560136967,3.6333881E-01,0,0.7415883246
numdoncat,ALB,predictorvalue,4,23090,4.30,1.07,0.3669491173,3.6697593E-01,0,0.7415883246
meandonationtime,HB,predspline,2,91138,2.00,1.00,0.3672026134,3.6720666E-01,0,0.7415883246
meanstoragetime,NTPROBNP,predspline,2,817,2.00,1.00,0.3671191138,3.6756987E-01,0,0.7415883246
meandonorage,HAPTO,predspline,2,370,1.97,0.98,0.3737513055,3.7472752E-01,0,0.7527277739
meandonationtime,NTPROBNP,predspline,2,814,1.95,0.98,0.3764175748,3.7685858E-01,0,0.7537171615
meandonationtime,CA_F,predspline,2,20318,1.92,0.96,0.3826967983,3.8271417E-01,0,0.7560945678
meanweekday,CO2,predictorvalue,5,1069,5.27,1.05,0.383979435,3.8462307E-01,0,0.7560945678
meandonorage,NEUTRO,predspline,2,10903,1.91,0.95,0.3855232062,3.8555533E-01,0,0.7560945678
donorparity,PO2,predictorvalue,2,16550,1.90,0.95,0.3858632612,3.8588440E-01,0,0.7560945678
meandonationtime,TRI,predspline,2,2542,1.88,0.94,0.3903060018,3.9044187E-01,0,0.7560945678
meanstoragetime,HAPTO,predspline,2,368,1.88,0.94,0.3910275,3.9196229E-01,0,0.7560945678
foreigndonor,MYELO,predictorvalue,1,356,0.73,0.73,0.3916340869,3.9221035E-01,0,0.7560945678
meandonorsex,HAPTO,predictorvalue,1,371,0.73,0.73,0.3927816097,3.9333310E-01,0,0.7560945678
meandonorage,INR,predspline,2,27909,1.86,0.93,0.3939464324,3.9395868E-01,0,0.7560945678
meandonationtime,ASAT,predspline,2,15215,1.86,0.93,0.394461689,3.9448412E-01,0,0.7560945678
meandonorage,TRANSF,predspline,2,51,1.86,0.93,0.394188607,4.0078276E-01,0,0.7649795418
meandonorsex,LYMF,predictorvalue,1,1921,0.68,0.68,0.4079163884,4.0801918E-01,0,0.7755736467
numdoncat,PO2,predictorvalue,4,16556,3.96,0.99,0.4112452667,4.1127733E-01,0,0.7760819584
meandonorage,TPK,predspline,2,54106,1.77,0.89,0.4126119538,4.1261793E-01,0,0.7760819584
meandonationtime,LD,predspline,2,6666,1.77,0.88,0.4132995999,4.1334800E-01,0,0.7760819584
timesincecat,COHB,predictorvalue,3,14194,2.84,0.95,0.4163628972,4.1639287E-01,0,0.7779328505
donorparity,KREA,predictorvalue,2,50331,1.74,0.87,0.4188738145,4.1888012E-01,0,0.7779328505
meanstoragetime,LAKTAT,predspline,2,18855,1.74,0.87,0.4193904814,4.1940728E-01,0,0.7779328505
meandonorhb,FERRITIN,predspline,2,2553,1.72,0.86,0.4225404499,4.2266324E-01,0,0.7808236575
meanweekday,CRP,predictorvalue,5,47666,4.91,0.98,0.4275586631,4.2757085E-01,0,0.7867303675
meandonorsex,MCH,predictorvalue,1,36907,0.62,0.62,0.4324954319,4.3250047E-01,0,0.7926303438
timesincecat,STDBIK,predictorvalue,3,20299,2.70,0.90,0.4400401308,4.4005936E-01,0,0.8032829523
meandonationtime,MCH,predspline,2,36788,1.61,0.81,0.4464134191,4.4642131E-01,0,0.8053021768
meandonationtime,CA,predspline,2,12688,1.61,0.81,0.4470514388,4.4707427E-01,0,0.8053021768
numdoncat,RET,predictorvalue,4,495,3.71,0.93,0.4472318528,4.4815600E-01,0,0.8053021768
donorparity,GLUKOS,predictorvalue,2,44583,1.61,0.80,0.4481616927,4.4816817E-01,0,0.8053021768
timesincecat,FERRITIN,predictorvalue,3,2563,2.59,0.86,0.4591662939,4.5930754E-01,0,0.8193579672
meandonorsex,COHB,predictorvalue,1,14190,0.54,0.54,0.4611751356,4.6118732E-01,0,0.8193579672
meandonationtime,CO2,predspline,2,1070,1.55,0.77,0.4610760591,4.6133416E-01,0,0.8193579672
foreigndonor,CO2,predictorvalue,1,1073,0.53,0.53,0.4669385504,4.6709725E-01,0,0.8231333936
meandonorhb,PH,predspline,2,20191,1.50,0.75,0.4715211226,4.7153432E-01,0,0.8231333936
meandonorhb,GT,predspline,2,7673,1.50,0.75,0.4715282762,4.7156300E-01,0,0.8231333936
timesincecat,TPK,predictorvalue,3,54135,2.52,0.84,0.47164622,4.7165258E-01,0,0.8231333936
meandonorage,FE,predspline,2,1404,1.50,0.75,0.4722177392,4.7240699E-01,0,0.8231333936
meanstoragetime,MYELO,predspline,2,354,1.45,0.72,0.485407689,4.8612258E-01,0,0.8340611205
meandonorage,EGFR,predspline,2,7812,1.43,0.72,0.4882141626,4.8824629E-01,0,0.8340611205
meandonorage,PO2,predspline,2,16550,1.43,0.71,0.490255299,4.9027035E-01,0,0.8340611205
meandonorsex,BE,predictorvalue,1,20168,0.47,0.47,0.4910113805,4.9101930E-01,0,0.8340611205
meanstoragetime,LD,predspline,2,6676,1.42,0.71,0.4922668366,4.9230387E-01,0,0.8340611205
timesincecat,CA,predictorvalue,3,12737,2.39,0.80,0.4959716884,4.9599598E-01,0,0.8340611205
meandonorage,MCHC,predspline,2,23925,1.40,0.70,0.4966345711,4.9664474E-01,0,0.8340611205
donorparity,PH,predictorvalue,2,20404,1.39,0.70,0.4978457853,4.9785765E-01,0,0.8340611205
meandonorage,META,predspline,2,376,1.39,0.69,0.4994576844,5.0009673E-01,0,0.8340611205
idbloodgroupcat,ASAT,predictorvalue,1,15258,0.45,0.45,0.5018200363,5.0183020E-01,0,0.8340611205
numdoncat,ASAT,predictorvalue,4,15281,3.33,0.83,0.5045513687,5.0457415E-01,0,0.8340611205
meandonorhb,OSMO,predspline,2,6416,1.37,0.68,0.5045702765,5.0460707E-01,0,0.8340611205
meandonationtime,TROP_T,predspline,2,4338,1.37,0.68,0.5050435401,5.0509786E-01,0,0.8340611205
meanweekday,LYMF,predictorvalue,5,1917,4.31,0.86,0.5056539551,5.0585688E-01,0,0.8340611205
foreigndonor,MONO,predictorvalue,1,1928,0.44,0.44,0.5057966107,5.0587620E-01,0,0.8340611205
donorparity,NEUTRO,predictorvalue,2,10903,1.34,0.67,0.5115568306,5.1157791E-01,0,0.8404494233
meandonorhb,CRP,predspline,2,47250,1.33,0.66,0.5153161619,5.1532096E-01,0,0.8424323715
meandonorage,TROP_I,predspline,2,578,1.32,0.66,0.5160573871,5.1644767E-01,0,0.8424323715
meandonationtime,ERYTRO,predspline,2,36476,1.30,0.65,0.5219275047,5.2193355E-01,0,0.8454213528
numdoncat,LAKTAT,predictorvalue,4,18878,3.22,0.80,0.5219390737,5.2195579E-01,0,0.8454213528
