predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meanweekday,ASAT,predictorv,5,15276,6.98,1.40,0.221886807,2.2195483E-01,0,0.6251256964
meandonationtime,MYELO,predspline,2,354,3.02,1.51,0.2208248132,2.2224436E-01,0,0.6251256964
foreigndonor,METHB,predictorvalue,1,15597,1.47,1.47,0.2252507649,2.2526913E-01,0,0.63075357
meanstoragetime,PO2,predspline,2,16536,2.95,1.47,0.2288861623,2.2891626E-01,0,0.6321351033
meandonorsex,ASAT,predictorv,1,15277,1.45,1.45,0.2288987396,2.2891738E-01,0,0.6321351033
meanweekday,LPK,predictorvalue,5,56342,6.88,1.38,0.2296424259,2.2966066E-01,0,0.6321351033
numdoncat,NEUTRO,predictorvalue,4,10906,5.62,1.40,0.2297884791,2.2986731E-01,0,0.6321351033
donorparity,MONO,predictorvalue,2,1927,2.93,1.46,0.2313555935,2.3161273E-01,0,0.6325649818
meandonorsex,LAKTAT,predictorvalue,1,18871,1.43,1.43,0.2320623937,2.3207741E-01,0,0.6325649818
meandonationtime,MCV,predspline,2,36698,2.88,1.44,0.2363652236,2.3637862E-01,0,0.6414503604
idbloodgroupcat,ALAT,predictorvalue,1,16857,1.39,1.39,0.2388839831,2.3890061E-01,0,0.6454507717
donorparity,ASAT,predictorv,2,15276,2.85,1.43,0.2403466599,2.4037864E-01,0,0.6466080375
meanstoragetime,ALP,predspline,2,6663,2.83,1.42,0.2428888797,2.4296187E-01,0,0.6507152786
meandonorhb,INR,predspline,2,27706,2.80,1.40,0.2463832982,2.4640075E-01,0,0.6570686641
timesincecat,KREA,predictorv,3,50353,4.13,1.38,0.2479462824,2.4795948E-01,0,0.6583751597
timesincecat,LYMF,predictorvalue,3,1919,4.11,1.37,0.2496201084,2.4996499E-01,0,0.6608516578
meandonorhb,FIB,predspline,2,13552,2.76,1.38,0.2515704342,2.5160579E-01,0,0.6623468544
idbloodgroupcat,TRANSF,predictorv,1,52,1.33,1.33,0.2488136013,2.5408711E-01,0,0.6635054619
meanweekday,GLUKOS,predictorvalue,5,44587,6.58,1.32,0.2541780733,2.5420014E-01,0,0.6635054619
idbloodgroupcat,MCV,predictorvalue,1,36785,1.27,1.27,0.2605563897,2.6056373E-01,0,0.6668670343
meandonorage,CO2,predspline,2,1071,2.68,1.34,0.2614189138,2.6185790E-01,0,0.6668670343
foreigndonor,STDBIK,predictorvalue,1,20301,1.26,1.26,0.2623971051,2.6241036E-01,0,0.6668670343
meanstoragetime,BE,predspline,2,20149,2.67,1.34,0.2630324164,2.6305570E-01,0,0.6668670343
foreigndonor,TRI,predictorv,1,2552,1.25,1.25,0.2637725237,2.6387772E-01,0,0.6668670343
meandonationtime,EOSINO,predspline,2,1913,2.65,1.32,0.2659069395,2.6615071E-01,0,0.6668670343
meanweekday,ALP,predictorvalue,5,6668,6.43,1.29,0.2666305056,2.6677442E-01,0,0.6668670343
meandonationtime,GT,predspline,2,7705,2.63,1.32,0.2683140705,2.6837434E-01,0,0.6668670343
meandonorage,MONO,predspline,2,1927,2.63,1.32,0.2681443518,2.6838531E-01,0,0.6668670343
meandonationtime,META,predspline,2,375,2.64,1.32,0.2678003453,2.6903704E-01,0,0.6668670343
foreigndonor,FE,predictorvalue,1,1406,1.21,1.21,0.2705047742,2.7069336E-01,0,0.6668670343
foreigndonor,TRANSF,predictorv,1,52,1.24,1.24,0.2658494269,2.7096686E-01,0,0.6668670343
timesincecat,GLUKOS,predictorvalue,3,44605,3.91,1.30,0.2711872088,2.7120146E-01,0,0.6668670343
